fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,March,18,MAHARASHTRA,1823,AKOLA,1388055,326.058979169487,33,2843,673.319512296,13269,2,31999,2319866,386775,40002,129694,12010,205.26535,8442.716259996,69444,105445,102072,233316,5455,298402,577409,45268,7564.1313977,1019790,93,44.25,3.02,114.69,NA
2024-2025,March,18,MAHARASHTRA,1825,YAVATMAL,4917725,306.582805874039,42,916,3194.363838544,23297,7,45291,7226782,389773,41902,830856,80506,671.93066,26022.365528544,171009,260419,247473,553212,13036,697311,1422093,68588,22156.07103,3111570,93,46.39,19.21,100.66,NA
2024-2025,March,18,MAHARASHTRA,1828,BHANDARA,5484787,207.029425418941,39,5689,3446.808314304,17318,8,14830,5572199,687138,59972,415938,33465,476.04009,15458.939977204,139479,231675,189860,456595,9179,289773,634965,32148,11536.0915729,3551767,82,23.32,11.78,102.84,NA
2024-2025,March,18,MAHARASHTRA,1802,THANE,358651,313.896839728961,32,59,254.158470999,4510,5,13163,567888,19912,3939,199424,38547,53.00494,2089.745896199,17332,30807,33144,107683,916,146218,342164,17673,1782.5824852,277507,95,55.5,1.58,107.44,NA
2024-2025,March,18,MAHARASHTRA,1807,DHULE,1847278,328.073067852625,42,407,537.968234821,7916,30,26674,2729489,125812,18111,513684,80890,228.48178,9721.16831382094,64146,108285,108637,303147,8704,455018,958321,34590,8954.71829899993,1304406,91,64.03,0.12,109.39,NA
2024-2025,March,18,MAHARASHTRA,1823,AKOLA,1388055,325.227827431273,33,2825,668.141852296,13172,2,31654,2295978,384439,39930,128242,11936,203.04705,8338.348269996,68924,104504,101698,232510,5398,298364,577307,44826,7467.1593677,1008430,93,44.04,3.04,114.74,NA
2024-2025,March,18,MAHARASHTRA,1824,AMRAVATI,6461507,442.450352693468,59,1383,13104.334942779,19989,3,46770,7614431,1149261,56391,5043271,144122,918.24827,47712.6600278798,128714,250390,201264,565041,41088,478376,1079856,66759,33690.0768151008,5588352,79,35.92,20.87,149.64,NA
2024-2025,March,18,MAHARASHTRA,1825,YAVATMAL,4917725,306.772100178995,42,914,3194.363838544,23192,7,45171,7158866,386030,41830,823254,80373,671.50266,25827.270075744,170223,258993,246935,552020,12753,697165,1421820,68363,21961.4035772,3079727,93,46.32,19.2,100.66,NA
2024-2025,March,18,MAHARASHTRA,1827,NAGPUR,1737623,316.076135673974,42,425,2433.379646475,10703,22,17676,2511108,379348,35770,370727,33588,315.69562,10686.088395475,58461,86343,111291,253577,6995,286070,551500,28379,7937.013129,1224201,86,63.85,1.26,107.67,NA
2024-2025,March,18,MAHARASHTRA,1829,CHANDRAPUR,4862209,289.815786287803,46,826,8217.34922943701,19131,6,26397,5513471,658875,64874,1430341,110584,596.86452,24793.123079837,119355,212202,179393,511892,15276,386980,926120,45528,15978.9093304,3197458,83,35.6,10.88,107.58,NA
2024-2025,March,18,MAHARASHTRA,1831,NANDURBAR,1558616,301.626497205915,34,143,4145.120810994,13759,6,32918,2875002,80319,11935,2242383,313305,330.86137,13147.750008194,83109,125063,161474,384880,4622,539167,1094001,46677,8671.7678272,1295062,87,35.89,1.42,113.48,NA
2024-2025,March,18,MAHARASHTRA,1834,HINGOLI,1946821,332.164117947233,44,132,3082.740684019,9670,2,21218,2837574,453614,47504,528136,45469,319.93515,12828.078482219,64159,108230,101641,258520,8518,268637,606310,30888,9425.4026482,1320126,91,71.56,0.22,107.97,NA
2024-2025,March,18,MAHARASHTRA,1803,RAIGAD,155002,296.505295123551,25,85,258.811082172,3751,49,18300,333911,10687,3279,84102,16075,46.0898,1294.964678172,13237,20846,32398,74623,380,196119,353967,22051,990.063796,153806,73,35.51,2.44,114.03,NA
2024-2025,March,18,MAHARASHTRA,1808,JALGAON,1805408,325.15164380938,37,234,2486.939104529,18547,21,36217,3023106,173734,33364,253075,40780,340.30833,12656.926287629,81564,128690,155658,381834,7778,680846,1290568,54764,9829.6788531,1447089,92,47.42,0.55,110.02,NA
2024-2025,March,18,MAHARASHTRA,1810,PUNE,386069,308.813889375934,32,99,456.122125037,11185,110,17837,764246,35770,10806,102464,23500,121.76109,2937.981012037,23347,39285,60909,160948,1210,384224,828289,29022,2360.097797,316519,94,72.04,0.01,104.37,NA
2024-2025,March,18,MAHARASHTRA,1812,SANGLI,486293,289.227133334293,35,55,642.727915546,5594,18,9935,833484,42116,8393,1094,243,116.87718,3170.266975546,23701,35364,51983,110865,749,321038,564383,15529,2410.66188,309155,88,49.05,0.11,100.56,NA
2024-2025,March,18,MAHARASHTRA,1822,BULDHANA,1433502,298.348693120747,28,227,1177.787675356,12639,8,30081,2488715,180422,35904,55401,8278,243.27709,8846.113443356,87908,132313,137674,333030,1298,492281,1026437,42720,7425.048678,898426,95,46.12,0.5,99.86,NA
2024-2025,March,18,MAHARASHTRA,1830,GADCHIROLI,3046898,307.809156280596,48,1304,6734.717227308,15420,2,19622,4960699,482723,40917,2408770,172353,452.29725,22456.500214828,102876,204854,139269,402417,14770,237130,606246,35042,15269.48573752,2735723,86,30.84,10.35,108.16,NA
2024-2025,March,18,MAHARASHTRA,1832,WASHIM,2440727,297.355117917045,47,1093,1209.566126015,6885,2,26493,4053358,277743,23220,118265,8736,373.15225,13635.585836515,85241,138907,104862,242837,6041,294545,582796,33378,12052.8674605,1696072,91,63.23,22.9,99.65,NA
2024-2025,March,18,MAHARASHTRA,1833,GONDIA,6411419,225.433733123901,46,386,11247.449349272,20101,14,34968,8357826,775289,53543,1574795,92278,762.05471,30850.863219072,179003,296912,242536,623372,21337,358856,848070,55069,18841.3591598,5899250,80,25.52,9.63,105.44,NA
2024-2025,March,18,MAHARASHTRA,1835,PALGHAR,2793391,323.659420119245,46,1176,3185.971423873,15684,12,42550,4756759,20045,1977,5377777,363669,515.67565,19097.345669743,101316,192516,139591,406941,16766,324235,755759,58234,15395.69859587,3323401,85,16.99,25.05,115.59,NA
2024-2025,March,18,MAHARASHTRA,1805,SINDHUDURG,306075,305.562894314059,30,126,152.7290018,5286,5,16310,448404,10995,3799,999,307,80.04051,1602.92575242001,14579,23936,39723,90737,684,130855,245738,21596,1370.15624062001,190398,82,82.07,4.37,101.18,NA
2024-2025,March,18,MAHARASHTRA,1810,PUNE,386069,312.843579570823,32,90,456.122125037,10951,112,17846,725668,33969,10756,99184,23397,121.76109,2848.088962037,22427,37498,60467,159737,1119,383387,825945,28797,2270.205747,298579,94,71.26,0.01,103.57,NA
2024-2025,March,18,MAHARASHTRA,1813,SOLAPUR,1172831,326.776967236515,36,183,662.768471323,6840,12,22127,1888047,72412,16367,14671,2716,203.4746,7035.94579792301,51834,87356,95628,217976,3450,570160,994772,28967,6169.70272660001,745290,96,78.14,0,110.63,NA
2024-2025,March,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,10917842,346.467499952961,57,1611,11225.968725701,18901,11,71765,10151217,298850,29725,185176,13158,1344.46733,47741.103810401,177810,325089,248698,660559,46025,695951,1482215,90666,35170.6677547,5628594,94,80.83,0.23,112.49,NA
2024-2025,March,18,MAHARASHTRA,1817,PARBHANI,3499679,321.886062494052,46,367,5254.014408446,7711,27,37154,4824587,188887,21947,38388,3040,673.87259,21457.5601243459,104718,169893,154507,345692,14633,429836,825559,44865,15529.6731258999,2214262,90,61.19,0.11,113.05,NA
2024-2025,March,18,MAHARASHTRA,1820,Dharashiv,2212308,300.211352312062,47,198,2243.110232553,8429,24,18905,2542039,175086,24911,10458,1225,336.53989,10211.139780753,53481,85338,82201,208494,8052,330852,713022,27334,7631.48965820001,1125509,80,51.31,0.15,118.6,NA
2024-2025,March,18,MAHARASHTRA,1835,PALGHAR,2793391,294.06667865383,45,1131,3184.767063873,15344,15,40957,4496783,18761,1954,5000700,360471,515.67565,16923.983128243,98580,186862,138010,403197,15086,323296,753731,56301,13223.54041437,3082651,85,17.01,23.79,107.34,NA
2024-2025,March,18,MAHARASHTRA,1802,THANE,358651,302.980359146225,32,56,254.158470999,4334,5,12868,532318,18924,3891,182775,37759,53.00494,1919.982399199,16593,29363,32647,106128,832,145732,340616,17202,1612.8189882,257464,95,55.07,1.35,102.62,NA
2024-2025,March,18,MAHARASHTRA,1807,DHULE,1847278,316.488301490923,41,380,522.393836321,6049,15,27038,2520381,114617,17911,462190,79011,227.59278,8726.69763432093,60749,101653,106328,296850,7692,453895,955362,33087,7976.71101799993,1179696,90,64.74,0.14,103.11,NA
2024-2025,March,18,MAHARASHTRA,1808,JALGAON,1805408,317.948516939546,36,224,2481.024864529,17717,21,35836,2862621,163125,33170,237504,40283,340.30833,11922.994209629,78640,123403,153639,377081,7184,679683,1287617,53553,9101.6610151,1356823,92,49.51,0.54,105.08,NA
2024-2025,March,18,MAHARASHTRA,1813,SOLAPUR,1172831,328.074147691355,36,182,662.768471323,6836,12,22098,1872960,72099,16361,14525,2710,203.4746,7010.94062792301,51599,86929,95500,217648,3408,570039,994490,28934,6144.69755660001,738656,96,78,0,110.63,NA
2024-2025,March,18,MAHARASHTRA,1816,JALNA,4308280,319.964404109583,45,412,4395.529226293,10867,19,52120,5705982,174939,21440,30390,3364,568.58034,23221.2208711931,126100,229816,179257,471065,15560,499299,1111522,62987,18257.1113049001,2785243,79,52.59,0.75,105.05,NA
2024-2025,March,18,MAHARASHTRA,1822,BULDHANA,1433502,297.861738645808,27,223,1177.787675356,11737,8,30485,2345147,169202,35599,52754,8219,243.27709,8406.360393356,85480,128169,136126,329304,1121,491258,1024450,42222,6985.295628,843783,95,44.69,0.5,99.81,NA
2024-2025,March,18,MAHARASHTRA,1828,BHANDARA,5484787,202.365506891329,39,5633,3446.808314304,15146,8,16347,5422829,662507,59817,398565,33366,473.50148,14894.245188004,137972,228350,189476,455723,8427,289421,634245,31493,10973.9353937,3451705,81,24.35,12.94,101.1,NA
2024-2025,March,18,MAHARASHTRA,1829,CHANDRAPUR,4862209,278.115999122387,44,802,8217.34922943701,17651,6,26218,5223259,617917,64675,1327671,109887,596.86452,23340.932704037,116359,205411,178368,509174,13543,386537,925008,43869,14526.7189546,2983709,83,36.31,11,104.07,NA
2024-2025,March,18,MAHARASHTRA,1830,GADCHIROLI,3046898,297.329817329847,46,1275,6745.886677308,14257,2,18492,4639937,446238,40717,2197132,171370,452.17475,20993.977633628,100262,198565,138430,400251,12799,236865,605708,32749,13795.91620632,2527751,85,31.68,11.11,103.63,NA
2024-2025,March,18,MAHARASHTRA,1834,HINGOLI,1946821,333.606651168304,42,125,3082.740684019,9436,2,20536,2598554,418407,46979,485612,44937,319.93515,12071.624812219,60684,101694,99851,254530,7319,267673,604579,29972,8668.94897820001,1194149,91,71.67,0.23,107.47,NA
2024-2025,March,18,MAHARASHTRA,1807,DHULE,1847278,316.631746441479,41,374,522.393836321,6035,15,26912,2502586,113950,17894,457870,78804,227.59278,8673.96837432095,60357,100898,106073,296238,7615,453830,955200,32947,7923.98175799995,1169451,90,64.72,0.14,103.13,NA
2024-2025,March,18,MAHARASHTRA,1818,BEED,7635105,345.180239097841,46,718,8441.870920117,7547,48,77296,9548936,191353,16666,23104,1963,990.0529,42392.9639362168,205845,359880,280574,681374,30578,698583,1440234,84843,32961.0401160998,4787714,79,45.34,4.35,298.8,NA
2024-2025,March,18,MAHARASHTRA,1819,NANDED,4384006,318.549159594443,43,315,5540.160698763,10857,31,41997,5350086,631120,81426,436370,41333,624.02882,23206.843509343,124308,204237,193670,511433,15252,674468,1519861,52854,17042.65399058,2687259,85,48.94,1.16,113.85,NA
2024-2025,March,18,MAHARASHTRA,1821,LATUR,4438994,334.276692266012,49,265,7666.491628948,17813,1,28336,4733845,529368,58022,57732,4455,689.81003,24180.442141948,95165,156759,139180,346832,17579,404935,854858,46149,15824.140483,2317105,88,56.97,0.02,102.85,NA
2024-2025,March,18,MAHARASHTRA,1824,AMRAVATI,6461507,358.087022370919,58,1343,13100.948202779,18780,3,45738,7324062,1077275,56077,4697260,143717,917.99827,40245.462005179,125534,243576,199818,561131,38890,477681,1077977,64518,26226.5155324,5211499,79,36.47,21.11,125.27,NA
2024-2025,March,18,MAHARASHTRA,1831,NANDURBAR,1558616,301.075358556209,33,133,3929.525211327,13073,7,32088,2619659,73891,11812,2023412,308802,330.86137,12147.534308527,78098,116843,158789,378997,3964,538582,1093047,45161,7887.1477272,1166462,85,36.47,1.44,111.47,NA
2024-2025,March,18,MAHARASHTRA,1803,RAIGAD,155002,304.359607588062,24,82,257.600472172,3675,54,18203,316708,9961,3255,78905,15841,46.0898,1267.621498172,12735,20057,32030,73887,342,195861,353331,21878,963.931226,145090,72,34.82,2.4,114.15,NA
2024-2025,March,18,MAHARASHTRA,1807,DHULE,1847278,315.837504045161,41,373,522.393836321,6034,15,26720,2481359,113053,17866,451757,78520,227.59278,8587.04894832096,59935,100091,105796,295502,7499,453720,954944,32754,7837.06233199996,1157056,90,64.64,0.14,103.16,NA
2024-2025,March,18,MAHARASHTRA,1808,JALGAON,1805408,320.081833052809,36,223,2481.024864529,17469,22,35807,2828631,160520,33107,234239,40196,340.30833,11875.267149629,78113,122496,153272,376204,7017,679578,1287302,53276,9053.9339551,1337302,92,49.69,0.55,105.03,NA
2024-2025,March,18,MAHARASHTRA,1811,SATARA,705210,322.164206844604,34,169,499.269995699,7578,14,14161,1027554,40635,11498,4471,1000,133.75389,3943.435079699,29986,46655,72403,162263,2640,415632,785605,21739,3310.411194,485394,89,62.24,0.26,105.77,NA
2024-2025,March,18,MAHARASHTRA,1821,LATUR,4438994,335.829133185527,49,265,7666.491628948,17758,1,28324,4707501,526171,57969,57350,4452,689.81003,24165.461461948,94843,156089,138962,346325,17439,404741,854512,46082,15809.159803,2301647,88,56.94,0.02,102.85,NA
2024-2025,March,18,MAHARASHTRA,1806,NASHIK,2102278,303.275651309385,33,814,4464.45576548,22854,15,49405,3242783,59545,12346,1329188,216725,397.20556,14696.23258928,95979,158371,197040,548501,4440,712582,1517637,72259,9834.57126380001,1282274,85,32.42,12.17,101.13,NA
2024-2025,March,18,MAHARASHTRA,1807,DHULE,1847278,316.73435705357,41,370,522.393836321,6034,15,26628,2472811,112759,17852,447847,78336,227.59278,8582.22863832096,59692,99625,105628,295087,7477,453641,954765,32662,7832.24202199996,1152622,90,64.72,0.14,103.14,NA
2024-2025,March,18,MAHARASHTRA,1808,JALGAON,1805408,318.971374224353,36,223,2481.024864529,17468,22,35787,2824255,160320,33091,234087,40183,340.30833,11829.898179629,78019,122329,153237,376080,6996,679436,1287034,53255,9008.5649851,1335087,92,49.74,0.55,105.03,NA
2024-2025,March,18,MAHARASHTRA,1817,PARBHANI,3499679,324.248815759077,45,354,5254.014408446,7690,27,36886,4727256,184141,21920,37657,3039,673.87259,21255.9585963459,103835,168278,153994,344668,14040,429406,824824,44576,15328.0715978999,2159014,90,61.08,0.11,113.39,NA
2024-2025,March,18,MAHARASHTRA,1818,BEED,7635105,349.166566929401,46,712,8441.870920117,7461,48,77155,9411962,188569,16616,22525,1944,990.0529,42295.3484162168,204419,356987,279724,679718,29898,698301,1439595,84616,32863.4245960998,4705762,79,45.05,4.34,300.09,NA
2024-2025,March,18,MAHARASHTRA,1821,LATUR,4438994,336.562852666646,49,265,7666.491628948,17712,1,28303,4697212,524905,57939,57144,4451,689.81003,24165.372361948,94682,155751,138873,346125,17369,404628,854286,46015,15809.070703,2294812,88,56.81,0.02,102.85,NA
2024-2025,March,18,MAHARASHTRA,1822,BULDHANA,1433502,298.736490748148,27,221,1177.787675356,11685,8,30440,2324940,168087,35578,51893,8186,243.27709,8366.508933356,85180,127657,135951,328885,1092,491069,1024061,42125,6945.444168,835847,95,44.31,0.51,99.78,NA
2024-2025,March,18,MAHARASHTRA,1827,NAGPUR,1737623,300.383842258122,41,410,2412.152999475,9292,22,18393,2358207,353517,35405,345496,33201,315.69562,9811.521414475,56269,82533,110180,251167,6269,285464,550160,27685,7083.672795,1131903,85,63.14,1.2,102.46,NA
2024-2025,March,18,MAHARASHTRA,1803,RAIGAD,155002,303.406843855486,25,88,262.808252172,4060,46,18339,359052,11586,3326,91685,16506,46.0898,1398.286393172,14029,22162,32991,75810,444,196302,354558,22399,1089.388341,167014,73,37.27,2.23,117.22,NA
2024-2025,March,18,MAHARASHTRA,1806,NASHIK,2102278,302.645839363298,35,971,4519.52349548,25718,14,54454,3976115,73288,12847,1689884,229027,408.30237,16961.37248128,110720,186204,206703,574344,5877,717550,1530875,80172,12033.5466158,1626474,86,31.67,11.31,102.85,NA
2024-2025,March,18,MAHARASHTRA,1812,SANGLI,486293,295.586817278964,35,58,658.290395546,5715,17,10443,900679,45619,8499,1391,267,116.87718,3437.455965546,25271,38038,53063,113214,863,321919,566386,16158,2662.28839,336802,88,49.53,0.1,100.72,NA
2024-2025,March,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,10917842,372.931165094329,58,1668,11279.696115701,19542,10,73795,10621552,321138,29974,198399,13318,1350.06117,52240.834910401,182343,334877,250833,665060,49941,696269,1482642,93337,39611.0776247,6033962,94,81.21,0.22,123.23,NA
2024-2025,March,18,MAHARASHTRA,1819,NANDED,4384006,329.422295796512,44,341,5550.937268763,11713,24,44464,5980368,710244,82931,504122,42263,643.23912,25894.8419514429,132898,220240,199040,524006,18798,677119,1524823,56177,19700.6655626799,3076619,85,50.29,1.25,119.01,NA
2024-2025,March,18,MAHARASHTRA,1821,LATUR,4438994,346.860511561876,52,285,7696.663498948,18177,1,30652,5280847,595814,58831,67572,4551,701.44403,26715.280447948,101436,168861,143036,355446,21063,408658,861375,48829,18317.172919,2663465,89,59.59,0.03,107.62,NA
2024-2025,March,18,MAHARASHTRA,1822,BULDHANA,1433502,298.887464124843,29,237,1200.477125356,13695,8,30092,2638316,190881,36103,58642,8385,247.84384,9333.916753356,90934,137306,139457,337146,1502,493180,1028179,43787,7885.595788,956683,95,47.75,0.47,99.87,NA
2024-2025,March,18,MAHARASHTRA,1834,HINGOLI,1946821,331.964889542616,44,136,3104.951564019,9673,2,21643,2944484,471786,47810,551343,45769,326.76273,13206.367352219,65686,111107,102521,260585,9043,269064,607127,31316,9774.6530582,1380981,91,72.14,0.23,107.78,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,0,0,0,0,18,406,13647,0,0,3582,0,36145,10.3281,13.41305,0,0,30100,98696,0,146458,343272,13665,3.08495,0,95,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,0,0,0,0,71,435,27847,0,0,16652,0,75289,0,41.206968,0,0,100645,283018,0,456389,961469,27918,41.206968,0,91,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,0,0,0,0,169,1046,37327,0,0,28296,0,35952,0,39.01656,0,0,136487,337497,0,682297,1293952,37496,39.01656,0,91,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,5071769,1,0,0,446,1142,35745,1,0,28904,0,26259,0,50.71769,1,1,143493,418572,0,775984,1927857,36191,50.71769,0,93,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,0,0,0,0,19,1220,18235,0,0,8844,0,21381,0,24.44013,0,0,51140,135929,0,385164,831165,18254,24.44013,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,0,0,0,0,12,543,38630,0,0,19945,0,2738,0,148.4763,0,0,149719,334322,0,431996,828976,38642,148.4763,0,90,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1818,BEED,1492125,0,0,0,0,12,929,81558,0,0,16046,0,1935,0,231.536295,0,0,282860,685697,0,702934,1449470,81570,231.536295,0,79,97.26,2.74,0,NA
2025-2026,April,18,MAHARASHTRA,1824,AMRAVATI,938474,0,0,0,0,283,658,46844,0,0,51732,0,138176,0,32.41853,0,0,186909,528886,0,478886,1080409,47127,32.41853,0,77,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,0,0,0,0,211,854,46943,0,0,39258,0,76764,0,98.51343,0,0,237032,531050,0,698604,1424187,47154,98.51343,0,94,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,0,0,0,0,15,542,15024,0,0,56929,0,31646,0,0.27584,0,0,180125,436461,0,289994,635329,15039,0.27584,0,77,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,0,0,0,0,338,636,35147,0,0,10344,0,272672,0,1.22661,0,0,141757,338737,0,539638,1094941,35485,1.22661,0,88,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1833,GONDIA,716388,0,0,0,0,139,491,35009,0,0,51395,0,89845,0,20.47669,0,0,231041,598220,0,359341,849156,35148,20.47669,0,78,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1803,RAIGAD,21915,0,0,0,0,86,789,18393,0,0,2628,0,14646,0,3.91311,0,0,27911,64399,0,196392,354937,18479,3.91311,0,79,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1804,RATNAGIRI,59832,0,0,0,0,85,764,20386,0,0,6379,0,1141,0,14.04926,0,0,50265,114709,0,258635,479774,20471,14.04926,0,97,59.62,0.03,0,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,0,0,0,28.282765,271,939,37319,0,0,28310,0,35982,0,100.088015,0,0,136577,337738,0,682434,1294344,37590,71.80525,0,91,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,0,0,0,0,10,918,23618,0,0,14151,0,2213,0,45.03314,0,0,86742,196984,0,572718,1001215,23628,45.03314,0,97,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,0,0,0,0,59,779,73838,0,0,26546,0,12534,0,58.8445790000002,0,0,238539,636350,0,696403,1483095,73897,58.8445790000002,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,0,0,0,0,101,495,12486,0,0,15096,0,14388,0,3.13597,0,0,56076,138714,0,225670,420059,12587,3.13597,0,87,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,0,0,0,0,188,673,17707,0,0,31512,0,30886,0,14.16312,0,0,98070,224623,0,286283,551904,17895,14.16312,0,81,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,0,0,0,0,0,417,13664,0,0,3582,0,36132,10.3281,12.66461,0,0,30100,98671,0,146412,343000,13664,2.33651,0,95,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1803,RAIGAD,21915,0,0,0,0,14,796,18410,0,0,2612,0,14573,0,3.46302,0,0,27786,64191,0,196358,354733,18424,3.46302,0,79,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,0,0,0,0,53,1123,37370,0,0,28294,0,35897,0,20.13463,0,0,136390,337218,0,682200,1293677,37423,20.13463,0,91,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,0,0,0,0,13,1504,14946,0,0,9789,0,877,0,0.62667,0,0,64298,144997,0,415800,789267,14959,0.62667,0,87,65.8,29.81,0,NA
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,0,0,0,0,1,1008,23580,0,0,14137,0,2210,0,4.92587,0,0,86660,196789,0,572502,1000696,23581,4.92587,0,97,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1814,KOLHAPUR,54096,0,0,0,0,42,959,10311,0,0,17394,0,330,0,27.587,0,0,47060,115886,0,367519,660134,10353,27.587,0,93,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,0,0,0,0,9,636,38607,0,0,19943,0,2739,0,81.28296,0,0,149722,334308,0,431918,828860,38616,81.28296,0,90,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,0,0,0,0,84,821,30347,0,0,33248,0,7462,0,22.3344,0,0,128225,311428,0,493285,1028476,30431,22.3344,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,0,0,0,0,54,502,12511,0,0,15092,0,14372,0,2.27764,0,0,56051,138554,0,225481,419419,12565,2.27764,0,87,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,0,0,0,0,13,546,15026,0,0,56929,0,31644,0,0.00891,0,0,180127,436452,0,289986,635294,15039,0.00891,0,77,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,0,0,0,0,251,636,35233,0,0,10344,0,272664,0,1.22661,0,0,141757,338727,0,539557,1094749,35484,1.22661,0,88,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1805,SINDHUDURG,50387,1258.74434924078,10,1,0,99,367,16450,922,92,2714,0,223,4.27666,15.8822829,90,141,29975,69598,0,131614,246450,16549,11.6056229,475,87,31.57,0,100,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,700.766707021792,9,16,0,667,573,46561,31388,1367,39302,3526,76883,0,219.956654,3417,4886,237453,532162,0,699825,1426701,47228,219.956654,13702,94,32.41,17.8,100,NA
2025-2026,April,18,MAHARASHTRA,1828,BHANDARA,818318,145.93818531414,9,162,0,143,437,15306,38486,4263,56971,2471,31684,0,56.16577,4126,6431,180286,436726,0,290594,636167,15449,56.16577,20769,77,6.15,1.18,100,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,0,0,0,0,40,1120,18362,0,0,8862,0,21402,0,43.859076,0,0,51383,136622,0,385324,831652,18402,43.859076,0,94,99.98,0,0,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,0,0,0,0,105,778,73800,0,0,26550,0,12534,0,58.933679,0,0,238538,636366,0,696461,1483238,73905,58.933679,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,0,0,0,0,216,654,52615,0,0,20346,0,3143,166.52546,235.029348,0,0,174297,457083,0,503152,1117777,52831,68.503888,0,80,69.65,0,0,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,0,0,0,0,14,537,38649,0,0,19943,0,2740,0,170.3355,0,0,149702,334298,0,432120,829189,38663,170.3355,0,90,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1820,Dharashiv,303270,0,0,0,0.69,1,560,19159,0,0,20523,0,1132,0,27.52989,0,0,76217,193029,0,330950,711944,19160,26.83989,0,78,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1829,CHANDRAPUR,794464,0,0,0,0,589,760,26149,0,0,59756,0,103006,86.87413,113.41255,0,0,166169,478551,0,387368,927277,26738,26.53842,0,78,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1805,SINDHUDURG,50387,0,0,0,0,96,377,16435,0,0,2698,0,223,0,9.94082290000001,0,0,29943,69528,0,131598,246415,16531,9.94082290000001,0,87,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,1411.71614349776,11,2,0,333,609,52242,7582,174,20355,90,3149,166.52546,273.561778,658,1252,174333,457269,0,504225,1119560,52575,107.036318,3385,80,58.87,0,100,NA
